,ID2,ID,State,Sex,Start,End,COD,Days.Monitored,Year_Status,Survival,Status_clean
29,AL29F,"[AL29F,Intercept]",AL,F,10/21/2015,11/9/2016,NA,385,Live,1,both
30,AL30F,"[AL30F,Intercept]",AL,F,10/21/2015,1/3/2017,NA,440,Live,1,both
33,AL33F,"[AL33F,Intercept]",AL,F,10/22/2015,4/5/2017,NA,531,Live,1,both
34,AL34F,"[AL34F,Intercept]",AL,F,10/23/2015,3/9/2016,NA,138,Live,1,resident
38,AL38M,"[AL38M,Intercept]",AL,M,10/23/2015,12/21/2016,NA,425,Live,1,resident
39,AL39M,"[AL39M,Intercept]",AL,M,10/23/2015,1/26/2017,NA,461,Live,1,resident
42,AL42M,"[AL42M,Intercept]",AL,M,10/25/2015,7/4/2016,NA,253,Live,1,both
46,AL46F,"[AL46F,Intercept]",AL,F,10/27/2015,7/23/2016,NA,270,Live,1,resident
47,AL47M,"[AL47M,Intercept]",AL,M,10/27/2015,3/23/2016,NA,148,Live,1,resident
48,AL48M,"[AL48M,Intercept]",AL,M,10/27/2015,4/26/2017,NA,547,Live,1,resident
51,AL51M,"[AL51M,Intercept]",AL,M,10/29/2015,6/11/2016,NA,226,Live,1,both
54,AL54F,"[AL54F,Intercept]",AL,F,10/29/2015,2/4/2016,NA,98,Live,1,resident
61,GA07F,"[GA07F,Intercept]",GA,F,2/9/2015,4/2/2015,NA,52,Live,1,transient
68,GA14M,"[GA14M,Intercept]",GA,M,1/21/2015,6/16/2016,NA,512,Live,1,resident
71,GA17F,"[GA17F,Intercept]",GA,F,1/25/2015,6/7/2016,NA,499,Live,1,resident
73,GA19F,"[GA19F,Intercept]",GA,F,1/23/2015,6/3/2016,NA,497,Live,1,both
75,GA21M,"[GA21M,Intercept]",GA,M,2/10/2015,8/24/2016,NA,561,Live,1,both
76,GA22M,"[GA22M,Intercept]",GA,M,2/3/2015,8/22/2016,NA,566,Live,1,both
79,GA25M,"[GA25M,Intercept]",GA,M,2/2/2015,1/26/2016,NA,358,Live,1,resident
80,GA26M,"[GA26M,Intercept]",GA,M,1/22/2016,4/16/2016,NA,85,Live,1,transient
85,GA31F,"[GA31F,Intercept]",GA,F,1/26/2016,9/24/2016,NA,242,Live,1,both
88,GA34F,"[GA34F,Intercept]",GA,F,1/27/2016,5/16/2016,NA,110,Live,1,resident
89,GA35M,"[GA35M,Intercept]",GA,M,1/28/2016,12/24/2016,NA,331,Live,1,both
91,GA37F,"[GA37F,Intercept]",GA,F,1/28/2016,11/8/2016,NA,285,Live,1,transient
92,GA38M,"[GA38M,Intercept]",GA,M,1/29/2016,5/2/2017,NA,459,Live,1,both
94,GA40M,"[GA40M,Intercept]",GA,M,1/29/2016,9/10/2016,NA,225,Live,1,transient
96,GA42M,"[GA42M,Intercept]",GA,M,1/29/2016,6/13/2016,NA,136,Live,1,transient
98,GA44F,"[GA44F,Intercept]",GA,F,1/30/2016,4/3/2017,NA,429,Live,1,both
99,GA45M,"[GA45M,Intercept]",GA,M,1/31/2016,12/23/2016,NA,327,Live,1,transient
100,GA46M,"[GA46M,Intercept]",GA,M,1/31/2016,5/3/2017,NA,458,Live,1,transient
102,GA48M,"[GA48M,Intercept]",GA,M,2/1/2016,2/1/2017,NA,366,Live,1,transient
103,GA49M,"[GA49M,Intercept]",GA,M,2/2/2016,5/3/2017,NA,456,Live,1,resident
104,GA50F,"[GA50F,Intercept]",GA,F,2/3/2016,1/10/2017,NA,342,Live,1,resident
106,GA52F,"[GA52F,Intercept]",GA,F,2/7/2016,3/15/2016,NA,37,Live,1,resident
108,SC01F,"[SC01F,Intercept]",SC,F,3/16/2015,12/12/2015,NA,271,Live,1,resident
110,SC03F,"[SC03F,Intercept]",SC,F,3/15/2015,7/20/2016,NA,493,Live,1,resident
114,SC07M,"[SC07M,Intercept]",SC,M,2/22/2015,5/27/2015,NA,94,Live,1,resident
116,SC09F,"[SC09F,Intercept]",SC,F,3/16/2015,6/20/2016,NA,462,Live,1,resident
118,SC11M,"[SC11M,Intercept]",SC,M,3/13/2015,11/14/2015,NA,246,Live,1,resident
120,SC13M,"[SC13M,Intercept]",SC,M,2/28/2015,8/5/2016,NA,524,Live,1,resident
122,SC15F,"[SC15F,Intercept]",SC,F,2/25/2015,10/12/2016,NA,595,Live,1,resident
124,SC17F,"[SC17F,Intercept]",SC,F,3/26/2015,10/21/2016,NA,575,Live,1,resident
125,SC18F,"[SC18F,Intercept]",SC,F,3/27/2015,1/9/2016,NA,288,Live,1,transient
126,SC19M,"[SC19M,Intercept]",SC,M,4/9/2015,2/14/2016,NA,311,Live,1,resident
127,SC20F,"[SC20F,Intercept]",SC,F,3/27/2015,12/8/2016,NA,622,Live,1,transient
128,SC21F,"[SC21F,Intercept]",SC,M,3/30/2015,10/13/2015,NA,197,Live,1,resident
129,SC22F,"[SC22F,Intercept]",SC,F,3/27/2015,6/13/2015,NA,78,Live,1,transient
131,SC24F,"[SC24F,Intercept]",SC,F,3/29/2015,11/10/2016,NA,592,Live,1,both
133,SC26F,"[SC26F,Intercept]",SC,F,1/6/2016,4/17/2017,NA,467,Live,1,transient
134,SC27M,"[SC27M,Intercept]",SC,M,1/6/2016,5/2/2017,NA,482,Live,1,resident
135,SC28F,"[SC28F,Intercept]",SC,F,1/7/2016,1/7/2016,NA,NA,Live,1,unknown
136,SC29F,"[SC29F,Intercept]",SC,F,1/7/2016,11/23/2016,NA,321,Live,1,transient
137,SC30M,"[SC30M,Intercept]",SC,M,1/7/2016,12/8/2016,NA,336,Live,1,transient
138,SC31F,"[SC31F,Intercept]",SC,F,1/7/2016,12/17/2016,NA,345,Live,1,resident
140,SC33F,"[SC33F,Intercept]",SC,F,1/9/2016,3/25/2017,NA,441,Live,1,resident
141,SC34M,"[SC34M,Intercept]",SC,M,1/9/2016,12/13/2016,NA,339,Live,1,resident
143,SC36F,"[SC36F,Intercept]",SC,F,1/9/2016,12/29/2016,NA,355,Live,1,transient
144,SC37M,"[SC37M,Intercept]",SC,M,1/10/2016,8/22/2016,NA,225,Live,1,transient
145,SC38M,"[SC38M,Intercept]",SC,M,1/10/2016,6/1/2016,NA,143,Live,1,resident
146,SC39F,"[SC39F,Intercept]",SC,F,1/11/2016,4/3/2016,NA,83,Live,1,transient
147,SC40F,"[SC40F,Intercept]",SC,F,1/11/2016,4/30/2017,NA,475,Live,1,resident
148,SC41F,"[SC41F,Intercept]",SC,F,1/11/2016,4/24/2017,NA,469,Live,1,resident
150,SC43M,"[SC43M,Intercept]",SC,M,1/12/2016,7/19/2016,NA,189,Live,1,transient
